Property ID,Property Type,Bedrooms,Bathrooms,Floor Area,Postcode,Published Date,Price,Tenure,Council Tax Band,Parking,Garden,Distance From Nearest Station,Marketed By
149344040,Flat,2,2,96,E1W,2024-06-19,900000,Leasehold,0,False,False,0.2, Alwyne Estate Agents
122825801,Duplex,2,2,160,E14,2024-03-21,900000,Leasehold,H,True,False,0.0, Savills
149611661,Flat,2,2,96,E1W,2024-06-26,900000,Leasehold,0,True,False,0.3, Panda Residential
132851861,Apartment,3,2,110,E1W,2024-04-12,900000,Leasehold,G,True,False,0.4, Cluttons
145594022,Penthouse,3,2,111,E14,2024-05-18,900000,Leasehold,G,True,False,0.1, Franklyn James
148603754,Flat,2,1,77,E3,2024-07-02,375000,Leasehold,0,False,False,0.5, Foxtons
149649059,Terraced,3,1,105,E2,2024-06-28,900000,Freehold,0,False,True,0.3, Foxtons
139879571,Apartment,3,2,100,0,2024-06-24,900000,Leasehold,0,True,True,0.4, Felicity J Lord
132672308,Flat,3,2,144,E14,2023-03-17,900000,0,0,False,False,0.1, Panda Residential
138898814,Terraced,4,1,117,E1,2023-10-16,900000,Freehold,D,True,True,0.2, Winkworth
148398158,Terraced,3,2,144,E1W,2024-05-24,900000,Freehold,D,True,True,0.2, JOHNS&CO
86728161,Penthouse,3,2,120,E14,2023-07-21,900000,Leasehold,E,False,True,0.0, CBRE Residential
142302983,Flat,3,2,144,E14,2024-06-07,900000,Leasehold,0,True,True,0.4, JLL
148688300,End of Terrace,3,1,135,E1,2024-06-03,900000,Freehold,0,True,True,0.2, Foxtons
126427664,End of Terrace,4,2,125,E1,2024-05-30,900000,Freehold,D,True,True,0.2, Winkworth
149557013,Apartment,2,2,114,E14,2024-06-25,900000,Leasehold,G,True,False,0.1, Henry Wiltshire
146145545,Apartment,2,2,96,E14,2024-03-26,900000,Leasehold,0,True,False,0.1, Jack Barclay Estates
143399633,Apartment,3,2,144,E1W,2024-04-12,900000,Leasehold,G,True,False,0.4, Knight Frank
148821914,Apartment,3,2,129,E14,2024-06-06,900000,Leasehold,H,True,True,0.4, MY LONDON HOME
144070649,Apartment,1,1,65,E14,2024-04-04,900000,Leasehold,E,True,False,0.2, Barrain Property Advisors
125318030,Apartment,2,2,90,E14,2022-07-25,900000,Leasehold,F,True,False,0.3, Savills
132841346,Apartment,2,2,80,E1,2024-05-08,900000,Leasehold,E,False,False,0.2, Peach Properties
145208087,Apartment,2,2,78,E14,2024-07-10,900000,Leasehold,0,False,True,0.1, Ernest Brooks International
150079424,Flat,1,1,54,E1W,2024-07-10,900000,Leasehold,0,False,True,0.4, LANSHA LTD
149077007,Terraced,3,1,111,E3,2024-06-13,900000,Freehold,0,True,True,0.4, W J Meade
141910475,Apartment,3,2,102,E14,2024-06-07,900000,Leasehold,H,True,True,0.4, CBRE Residential
149496608,Flat,2,2,96,E14,2024-07-04,900000,Leasehold,0,True,False,0.2, Foxtons
149638280,Apartment,2,2,80,E14,2024-06-27,899999,Leasehold,0,False,False,0.1, Savills New Homes
144261725,Apartment,1,1,60,E14,2024-02-01,735000,Leasehold,0,False,True,0.1, Ernest Brooks International
86481522,Apartment,1,1,66,E14,2024-03-01,899999,Leasehold,0,True,False,0.3, Ernest Brooks International
139711598,Apartment,2,2,96,0,2023-10-05,899990,Leasehold,0,False,False,0.1, Lessel
140856053,Flat,2,2,96,E1,2023-10-05,899990,Leasehold,0,False,True,0.3, CHAMPS UK Property Asset Management
86857647,Flat,2,1,96,0,2024-06-04,899950,Leasehold,0,True,True,0.1, Dexters
144636788,Flat,3,2,127,E14,2024-04-16,899000,Leasehold,0,False,True,0.2, Foxtons
143311328,Apartment,2,2,92,E1,2024-01-02,898000,Leasehold,0,False,False,0.3, Ernest Brooks International
147831128,Apartment,1,1,66,E14,2024-05-10,895000,Leasehold,0,True,True,0.2, Canary Wharf Group
149401466,Apartment,2,1,86,E14,2024-06-20,895000,0,0,False,False,0.1, Lixing
149382824,Flat,1,1,75,E14,2024-06-20,895000,Leasehold,F,True,True,0.4, Knight Frank - New Homes
149713553,Apartment,3,2,113,E14,2024-07-01,895000,Leasehold,0,False,True,0.3, Garrison Estates
140986361,Flat,2,2,96,E1,2023-10-17,895000,0,0,False,True,0.2, CHAMPS UK Property Asset Management
148905203,Apartment,1,1,72,E14,2024-06-07,895000,Leasehold,0,True,False,0.3, CBRE Residential
148079348,Flat,1,1,48,E14,2024-05-16,895000,Leasehold,0,True,False,0.2, Knight Frank - New Homes
143091647,Flat,2,2,87,E1,2023-12-21,890000,Leasehold,0,False,True,0.1, Fraser & Co
143323961,Apartment,2,2,87,E1,2024-01-03,890000,Leasehold,F,False,False,0.1, MY LONDON HOME
148670774,Apartment,2,2,98,E2,2024-06-03,885000,Leasehold,E,True,True,0.1, Winkworth
147440594,Apartment,2,2,73,E14,2024-04-30,885000,0,0,False,True,0.0, London Property Guru
146752775,Apartment,2,2,69,E1,2024-04-12,880000,Leasehold,0,False,False,0.0, Romans & Partners
149509082,Apartment,1,1,61,0,2024-06-24,880000,Leasehold,0,False,True,0.1, Lessel
139614632,Apartment,1,1,48,E1,2024-05-24,880000,Leasehold,E,False,False,0.2, Hurford Salvi Carr
139275971,Apartment,2,2,96,E1,2024-03-18,880000,Leasehold,F,False,True,0.2, Chase Evans
146882462,Penthouse,2,2,96,E1,2024-06-18,880000,Leasehold,0,True,False,0.3, Hurford Salvi Carr
146647205,Apartment,1,1,48,E1W,2024-04-10,880000,Leasehold,0,False,True,0.3, Allie Home
